categoria,url
mouse gamer,https://www.mercadolivre.com.br/mouse-gamer-redragon-cobra-pro-usb24g-preto/p/MLB35793574
mouse gamer,https://www.amazon.com.br/Redragon-Wireless-16000DPI-Bot%C3%B5es-Program%C3%A1veis/dp/B0CWB2H58J/ref=sr_1_5
mouse gamer,https://www.amazon.com.br/Mouse-Gamer-Redragon-Pixart-Wireless/dp/B09FQ27R9C/ref=sr_1_6
mouse gamer,https://www.mercadolivre.com.br/mouse-sem-fio-gamer-12000dpi-sensor-pixart-3311-polling-rate-rgb-ate-2000hz-recarregavel-cor-preto-titorion/p/MLB53871685
mouse gamer,https://www.mercadolivre.com.br/mouse-usb-preto-com-7-botoes-havit-ms966se-sem-fio-10kdpi-cor-branco/p/MLB61503975
mouse sem fio,https://www.amazon.com.br/Redragon-M724-program%C3%A1veis-ergon%C3%B4mica-compat%C3%ADvel/dp/B0D41SDLTB/ref=sr_1_4
mouse sem fio,https://www.amazon.com.br/Mouse-ATTACK-SHARK-Tri-Mode-Bluetooth/dp/B0FRGJQFGG/ref=sr_1_29
mouse sem fio,https://www.amazon.com.br/ATTACK-SHARK-SUPERLIGHT-carregamento-magn%C3%A9tico/dp/B0DHRJGZM2
mouse sem fio,https://www.amazon.com.br/Logitech-Silencioso-Ambidestro-Conex%C3%A3o-Bluetooth/dp/B0CJ38WNWG/ref=sr_1_9
mouse sem fio, https://www.mercadolivre.com.br/mouse-gamer-attack-shark-x11-22000dpi-sem-fio-usb-bluetooth/up/MLBU3269725495
mouse sem fio, https://www.mercadolivre.com.br/mouse-gamer-attack-shark-x11-branco-22000-dpi-usb-bluetooth/up/MLBU3269566265
mouse sem fio,https://www.mercadolivre.com.br/mouse-king-pro-4k-gamer-preto-redragon/p/MLB38653921
mouse sem fio,https://www.mercadolivre.com.br/mouse-sem-fio-m170-preto-logitech/p/MLB15144095
mouse sem fio,https://www.mercadolivre.com.br/mouse-gamer-sem-fio-storm-pro-redragon-rgb-chroma-mark-ll/p/MLB19487149
mouse sem fio,https://www.mercadolivre.com.br/mouse-sem-fio-m280-preto-logitech/p/MLB6072946

tv 65 4k qled,https://www.amazon.com.br/TCL-QLED-SMART-65P8K-GOOGLE/dp/B0GH2L5MZL/ref=sr_1_9
suporte monitor articulado (simples),https://www.amazon.com.br/Ergon%C3%B4mico-Articulado-Compacto-Retr%C3%A1til-Monitores/dp/B0765KZ264/ref=sr_1_5
suporte monitor articulado (simples),https://www.amazon.com.br/Suporte-Articulado-para-Monitor-Gerenciamento/dp/B0DRG42PSW/ref=sr_1_6
suporte monitor articulado (simples),https://www.amazon.com.br/Suporte-Articulado-Pist%C3%A3o-Monitores-Branco/dp/B09WJD17ZS/ref=sr_1_7
suporte monitor articulado (simples),https://www.amazon.com.br/dp/B08ZGYHBJ7
suporte monitor articulado (simples),https://www.amazon.com.br/dp/B07CZM42VF

teclado gamer,https://www.mercadolivre.com.br/teclado-attack-shark-x68-he-rgb-qwerty-magnetic-switch-cor-de-teclado-preto-idioma-portugus-brasil/p/MLB46670961
smart tv 43 4k,https://www.amazon.com.br/Samsung-Smart-Crystal-U8100F-2025/dp/B0F5X69KQB/ref=sr_1_5
smart tv 43 4k,https://www.amazon.com.br/LG-Processador-Upscaling-Integrado-Controle/dp/B0F8KWK492/ref=sr_1_6
smart tv 43 4k,https://www.amazon.com.br/Hisense-Smart-Polegadas-Sports-Compat%C3%ADvel/dp/B0FL4WCZJC/ref=sr_1_7
smart tv 43 4k,https://www.amazon.com.br/SEMP-SMART-43S42-FHD-GOOGLE/dp/B0FSF5FKPC/ref=sr_1_8
smart tv 50 4k, https://www.mercadolivre.com.br/hisense-smart-tv-4k-50-polegadas-50q6qv-qled-com-dolby-vision-hdr10-hlg-filmmaker-mode-dolby-gaming-dolby-atmos-compatibilidade-alexa-e-google/p/MLB53505423
smart tv 50 4k,https://www.mercadolivre.com.br/smart-tv-4k-50-lg-uhd-50ua85-processador-7-ai-ger8-4k-super-upscaling-google-cast-alexa-integrado-controle-ai-smart-magic-webos-25/p/MLB51381761
smart tv 50 4k,https://www.mercadolivre.com.br/smart-tv-4k-50-lg-nanocell-50nanoa-processador-7-ai-ger8-4k-super-upscaling-google-cast-alexa-integrado-controle-ai-smart-magic-webos-25/p/MLB51967528
smart tv 55 4k,https://www.mercadolivre.com.br/smart-tv-4k-55-lg-uhd-55ua75-processador-7-ai-ger8-4k-super-upscaling-google-cast-alexa-integrado-controle-remoto-padro-webos-25/p/MLB54742419
smart tv 50 4k,https://www.mercadolivre.com.br/smart-tv-profissional-4k-50-lg-uhd-50au801-processador-7-ai-ger8-super-upscaling-google-cast-alexa-integrado-controle-ai-smart-magic-webos-25/p/MLB61517857

smart tv 55 4k,https://www.mercadolivre.com.br/smart-tv-55-philco-4k-uhd-roku-tv-dolby-audio-p55cra/p/MLB51227402
smart tv 58 4k,https://www.mercadolivre.com.br/smart-tv-58-ptv58g7pagcsbl-android-tv-4k-led-philco/p/MLB29722788
smart tv 55 4k, https://www.mercadolivre.com.br/smart-tv-aiwa-55-android-4k-borda-ultrafina-dolby-visionatmos-aws-tv-55-bl-01-a/p/MLB19794940 
smart tv 55 4k,https://www.mercadolivre.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-55c6k/p/MLB48808732
smart tv 65 4k, https://www.mercadolivre.com.br/smart-tv-tcl-65-polegadas-qled-mini-led-4k-c7k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-65c7k/p/MLB49823182
smart tv 55 4k,https://www.mercadolivre.com.br/smart-tv-tcl-55-polegadas-qled-4k-p7k-wifi-bluetooth-google-tv-hdr10-dolby-atmos-dolby-vision-55p7k/p/MLB49996606
smart tv 65 4k,https://www.mercadolivre.com.br/smart-tv-tcl-65-polegadas-qled-4k-p7k-wifi-bluetooth-google-tv-hdr10-dolby-atmos-dolby-vision-65p7k/p/MLB50107414
smart tv 40 4k ,https://www.mercadolivre.com.br/smart-tv-tcl-40-polegadas-full-hd-qled-s5k-wifi-bluetooth-google-tv-2-hdmi-hdr10-dolby-audio-40s5k/p/MLB49197358
smart tv 65 4k,https://www.mercadolivre.com.br/smart-tv-tcl-65-polegadas-qled-mini-led-4k-c7k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-65c7k/p/MLB49823182
smart tv 58,https://www.amazon.com.br/Smart-Philco-PTV58G7PAGCSBL-Android-Led/dp/B0CLM2425W/ref=sr_1_1
smart tv 55 4k,https://www.amazon.com.br/SmartTV-Aiwa-Android-Ultrafina-Vision/dp/B0BB33SPLH/ref=sr_1_1
smart tv 55,https://www.amazon.com.br/TCL-Polegadas-Bluetooth-Google-55P7K/dp/B0F1GHSSXG
smart tv 55,https://www.amazon.com.br/TCL-Polegadas-Bluetooth-Google-55C6K/dp/B0F7JZMVKF
smartv 65,https://www.amazon.com.br/TCL-Polegadas-Bluetooth-Google-65C7K/dp/B0F7KFSF9T/ref=sr_1_2
smart tv 55,https://www.amazon.com.br/TCL-Polegadas-Bluetooth-Google-55P7K/dp/B0F1GHSSXG/ref=sr_1_1
smart tv 65,https://www.amazon.com.br/TCL-Polegadas-Bluetooth-Google-65P7K/dp/B0F1GJ7Y73
smart tv 40,https://www.amazon.com.br/TCL-QLED-SMART-40S5K-GOOGLE/dp/B0FTGJDF9R
smart tv 65,https://www.amazon.com.br/TCL-Polegadas-Bluetooth-Google-65C7K/dp/B0F7KFSF9T/ref=sr_1_4

macbook, https://www.mercadolivre.com.br/macbook-air-13-apple-m4-8core-gpu-16gb-ram-256gb-ssd/up/MLBU3279487276
tablet 12,https://www.amazon.com.br/Tablet-Lenovo-Caneta-Teclado-Integrado/dp/B0GJ6QRYH8
tablet 11,https://www.amazon.com.br/Tablet-Lenovo-Octa-Core-Android-Caneta/dp/B0FN4BK3V7
tablet,https://www.amazon.com.br/VAIO-Octa-Core-Teclado-Conex%C3%A3o-Inteligente/dp/B0FHJD6KNL
tablet,https://www.mercadolivre.com.br/vaio-tl12-preto-8-gb-128-gb-126-inclui-com-rede-movel/p/MLB53149831
tablet,https://www.amazon.com.br/VAIO-Octa-Core-Teclado-Conex%C3%A3o-Inteligente/dp/B0FBBT8HHL
tablet,https://www.mercadolivre.com.br/vaio-tl12-preto-8-gb-256-gb-126-inclui-com-rede-movel/p/MLB53769953
tablet,https://www.amazon.com.br/Galaxy-Lite-128GB-Tela-Cinza/dp/B0FMFRFNWG
tablet,https://www.mercadolivre.com.br/tablet-samsung-galaxy-tab-s10-lite-5g-128gb-6gb-ram-tela-109-s-pen-e-capa-smartbook-cover-inclusas/p/MLB54053893
tablet,https://www.mercadolivre.com.br/tablet-huawei-matepad-se-11-8128gb-caneta-m-pen-lite-tela-huawei-fullview-de-11-para-conforto-visual-superbateria-de-7700-mah-225w-cmera-traseira-8-mpcmera-frontal-5-mp-cinza-nebula-cinza/p/MLB64298338
tablet,https://www.mercadolivre.com.br/tablet-samsung-galaxy-tab-s10-fe-wifi-128gb-8gb-tela-109-90hz-s-pen-e-capa-inclusas-cinza/p/MLB47885021
tablet,https://www.amazon.com.br/Samsung-Imersiva-Traseira-Frontal-Android/dp/B0F3LTWYS5

notebook gamer rtx (rtx3060/rtx4060),https://www.mercadolivre.com.br/notebook-acer-gamer-nitro-v15-core-i7-13-ger-32gb-512ssd-rtx4060-8gb-nvidia-geforce-tela-165hz-full-hd-linux-anv15-52-76np/p/MLB60126575
notebook gamer rtx (rtx3060/rtx4060),https://www.mercadolivre.com.br/notebook-acer-nitro-v15-anv15-52-96aq-intel-core-i9-13900h-de-13-g-16gb-512gb-ssd-rtx4060-windows-11-home-156/p/MLB52361455
notebook gamer rtx (rtx3060/rtx4060),https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v15-anv15-52-790m-intel-core-i7-13620h-13g-16gb-ram-512gb-ssd-rtx4060-156/p/MLB54279932
notebook gamer rtx (rtx3060/rtx4060),https://www.mercadolivre.com.br/hp-victus-156-core-i7-16-gb-512-gb-ssd-rtx-4060-15-fa1657nr-cor-azul/p/MLB43439316
notebook gamer rtx (rtx3060/rtx4060),https://www.amazon.com.br/Notebook-Gamer-Lenovo-i5-12450HX-83MES00100/dp/B0DYL44KXR/ref=sr_1_5
notebook gamer rtx (rtx3060/rtx4060),https://www.amazon.com.br/Notebook-Gamer-Intel%C2%AE-CoreTM-i5-13420H/dp/B0FYJ67V77/ref=sr_1_6
notebook gamer rtx (rtx3060/rtx4060),https://www.amazon.com.br/Notebook-Gamer-ANV15-41-R2GT-RyzenTM-7735HS/dp/B0G1CPG1KT/ref=sr_1_7
notebook gamer rtx (rtx3060/rtx4060),https://www.amazon.com.br/Notebook-ASUS-Gaming-Intel-Mecha/dp/B0FHBYH2Y5/ref=sr_1_8
teclado mecanico barato,https://www.mercadolivre.com.br/teclado-gamer-k631-castor-rgb-switch-brown-abnt2-cor-de-teclado-preto-idioma-portugus-brasil-redragon/p/MLB25779726
teclado mecanico barato,https://www.mercadolivre.com.br/teclado-mecanico-rgb-led-colorido-preto-pc-gamer-switch-97tc-cor-de-teclado-cinza-idioma-portugus-brasil/p/MLB46157422
teclado mecanico barato,https://www.mercadolivre.com.br/teclado-mecanico-gamer-switch-preto-azul-red-usb-ptbr-qwerty-cor-de-teclado-cinza-idioma-portugus-brasil/p/MLB41846249
teclado mecanico barato,https://www.mercadolivre.com.br/teclado-gamer-mecnico-60-menor-luz-led-rgb-switch-usb-c-cor-de-teclado-laranja-2-idioma-portugus-brasil/p/MLB64856227
teclado mecanico barato,https://www.mercadolivre.com.br/teclado-mecanico-rgb-led-colorido-pc-gamer-switch-usb-cor-de-teclado-azul-idioma-portugus-brasil/p/MLB59104196
teclado mecanico barato,https://www.amazon.com.br/Teclado-Mec%C3%A2nico-Ghosting-Computador-Notebook/dp/B0BSP5Q9PF/ref=sr_1_5

caixa de som bluetooth,https://www.mercadolivre.com.br/aiwa-aws-sp-01-caixa-de-som-speaker-bluetooth-cor-preto-aiwa/p/MLB26826554
caixa de som bluetooth,https://www.mercadolivre.com.br/caixa-de-som-partybox-encore-2-com-microfone-jbl-preto/p/MLB51195231

caixa de som bluetooth,https://www.mercadolivre.com.br/caixa-de-som-amplificada-aiwa-t1w-02-bluetoothusbaux-preto/p/MLB42931183
caixa de som bluetooth,https://www.mercadolivre.com.br/caixa-de-som-boombox-plus-aiwa-bbs-01-b-200w-bt-30h-ip66-usb-preto/p/MLB46439669
caixa de som bluetooth,https://www.mercadolivre.com.br/caixa-de-som-bluetooth-jbl-party-box-520-br-preta-resistent-cor-preto/p/MLB53365434
caixa de som bluetooth,https://www.mercadolivre.com.br/caixa-de-som-pulsebox-3-1400w-bluetooth-tws-karaoke-led-preto/p/MLB47714127
caixa de som bluetooth,https://www.amazon.com.br/Speaker-Philco-PBS45BT-Extreme-Bluetooth/dp/B0D364W7YK/ref=sr_1_5
caixa de som bluetooth,https://www.amazon.com.br/Caixa-Speaker-AIWA-SP-05-LB-Bluetooth/dp/B0FHYLZ7W1/ref=sr_1_6
caixa de som bluetooth,https://www.amazon.com.br/Caixa-Bluetooth-Essential-I2go-Resistente/dp/B085YDLGFR/ref=sr_1_7
caixa de som bluetooth,https://www.amazon.com.br/JBL-Bluetooth-Speaker-Preta-JBLGO4BLK/dp/B0CX5C6WP3/ref=sr_1_8
caixa de som bluetooth,https://www.amazon.com.br/Caixa-Port%C3%A1til-Bluetooth-Amvox-Gigante/dp/B09RQ9FCSK/ref=sr_1_9
caixa de som bluetooth,https://www.amazon.com.br/Port%C3%A1til-Bluetooth-Perfeita-Controle-Imperme%C3%A1vel/dp/B0FQ7RQZJ4/ref=sr_1_10
caixa de som,https://www.mercadolivre.com.br/caixa-de-som-bluetooth-prova-dagua-boombox-4-jbl-preta/p/MLB53924359
caixa de som,https://www.mercadolivre.com.br/caixa-de-som-flip7-bluetooth-prova-dagua-preta-jbl-bivolt-preto/p/MLB47809248
caixa de som,https://www.mercadolivre.com.br/caixa-de-som-bluetooth-portatil-go-4-jbl-azul/p/MLB36341302
caixa de som,https://www.mercadolivre.com.br/caixa-de-som-ultraportatil-prova-dagua-jbl-clip-5-cor-preto/p/MLB44713953
caixa de som,https://www.mercadolivre.com.br/jbl-caixa-de-som-go-4-black-prova-dagua-jblgo4blk-cor-preto/p/MLB36386053
caixa de som,https://www.mercadolivre.com.br/caixa-de-som-jbl-go4-portatil-bluetooth-42w-prova-dagua-ipx7-white/p/MLB37219474
caixa de som,https://www.mercadolivre.com.br/fone-de-ouvido-sem-fio-bluetooth-tune-flex-2-jbl-branco/p/MLB46155596
caixa de som,https://www.amazon.com.br/Caixa-Bluetooth-JBL-Boombox-Preta/dp/B0BF66H9XW
caixa de som,https://www.amazon.com.br/JBL-Caixa-Som-FLIP-Preta/dp/B0F7T2Y46Y
caixa de som,https://www.amazon.com.br/JBL-Caixa-Som-FLIP-Branca/dp/B0F7TCD2JQ/
caixa de som,https://www.amazon.com.br/JBL-Bluetooth-Speaker-Azul-JBLGO4BLU
caixa de som,https://www.amazon.com.br/JBL-Bluetooth-Speaker-Preta-JBLGO4BLK





headset gamer,https://www.mercadolivre.com.br/headset-gamer-redragon-zeus-lite-preto-p3-h510-lt-preto/p/MLB48468943
headset gamer,https://www.mercadolivre.com.br/fone-de-ouvido-headset-gamer-havit-h2002d-p3-para-ps3ps4ps5xboxpc-cor-preto/p/MLB15345937
headset gamer,https://www.mercadolivre.com.br/fone-gamer-hyperx-cloud-stinger-2-core-preto-pc-683l9aa/p/MLB22448503
headset gamer,https://www.mercadolivre.com.br/fone-de-ouvido-gamer-headset-havit-h2015d-pc-consoles-color-negro/p/MLB19693803
headset gamer,https://www.mercadolivre.com.br/headset-sem-fio-pulse-elite-sony-cor-branco/p/MLB35725883
headset gamer,https://www.mercadolivre.com.br/headset-gamer-sem-fio-onikuma-b2-conexo-usb-e-bluetooth-cor-preto/p/MLB43641629
headset gamer,https://www.mercadolivre.com.br/hyperx-headset-gamer-cloud-iii-pc-ps4-ps5-pretovermelho-vermelho/p/MLB65383507
headset gamer,https://www.mercadolivre.com.br/headset-gamer-onikuma-b2-fone-tipo-g435-bt-53-ps5-ps4-pc-cor-branco/p/MLB44555853
headset gamer,https://www.amazon.com.br/JBL-Fone-Ouvido-Com-JBLQTUM100M2BLK/dp/B0D6NLHV8N/ref=sr_1_5
headset gamer,https://www.amazon.com.br/Headphone-Ouvido-HV-H2002d-Microfone-Falante/dp/B07Y2G7VX5/ref=sr_1_6
headset gamer,https://www.amazon.com.br/Headset-Gamer-Redragon-Preto-H510-PRO/dp/B0CNKVYLF5/ref=sr_1_7
headset gamer,https://www.amazon.com.br/Ouvido-Headset-Fuxi-H3-Wireless-Bluetooth/dp/B0CHJXCJTW/ref=sr_1_8
headset gamer,https://www.amazon.com.br/Headset-Gamer-Redragon-Hylas-H260RGB/dp/B09BFZSRGN/ref=sr_1_9
notebook i5 8gb 256ssd,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-4gb-ram-256gb-ssd-linux-keepos-tela-156-led-fhd-silver-nj1726/p/MLB48919073
notebook i5 8gb 256ssd,https://www.mercadolivre.com.br/notebook-dell-latitude-3410-core-i7-10th-16gb-256gb-ssd-nvme-cor-cinza-excelente-recondicionado/p/MLB2010713151
notebook i5 8gb 256ssd,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-8gb-ram-256gb-ssd-windows-11-home-intel-iris-xe-tela-156-led-fhd-silver-nj1738w/p/MLB50363495
notebook i5 8gb 256ssd,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-intel-core-i5-1334u-13-ghz-8gb-ram-256gb-ssd-keepos-linux-tela-156-fhd-cool-silver-x1504va-nj1739/p/MLB48952658
notebook i5 8gb 256ssd,https://www.amazon.com.br/Notebook-Dell-Inspiron-I15-I1300-A30P-Carbono/dp/B0FHCHBRGF/ref=sr_1_5
notebook i5 8gb 256ssd,https://www.amazon.com.br/Notebook-ASUS-Vivobook-X1504VA-Windows/dp/B0F6967TJ9/ref=sr_1_6
notebook i5 8gb 256ssd,https://www.amazon.com.br/Notebook-Aspire-AG15-71P-5939-Gera%C3%A7%C3%A3o-Windows/dp/B0B8MCB6KK/ref=sr_1_7
notebook i5 8gb 256ssd,https://www.amazon.com.br/Notebook-ASUS-VivoBook-RYZEN-KeepOS/dp/B0CYVVRSSZ/ref=sr_1_8
notebook,https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i1300-a30p-156-i5-8gb-512gb-w11-preto/p/MLB54247265
notebook,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504-amd-ryzen-5-7520u-28-ghz-8gb-ram-256gb-ssd-windows-11-home-tela-156-fhd-black-e1504fa-nj825w/p/MLB29126536
notebook,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-8gb-ram-256gb-ssd-windows-11-home-intel-iris-xe-tela-156-led-fhd-silver-nj1738w/p/MLB50363495
notebook,https://www.mercadolivre.com.br/notebook-acer-aspire-go-15-ag15-71p-5939-intel-core-i5-13420h-13-geraco-8gb-ddr5-256gb-ssd-nvme-tela-156-windows-11-home/p/MLB52934530




powerbank 20000mah,https://www.mercadolivre.com.br/carregador-portatil-power-bank-turbo-i2go-20000mah-20w-com-display-digital/p/MLB21410949
powerbank 20000mah,https://www.mercadolivre.com.br/carregador-portatil-power-bank-turbo-20000mah-universal-para-iphone-samsung-motorlola-xiaomi-20w-com-display-digital-dtimp/p/MLB54026101
powerbank 20000mah,https://www.mercadolivre.com.br/carregador-portatil-power-bank-xiaomi-mi-50w-20000mah-usb-cor-preto/p/MLB25397198
powerbank 20000mah,https://www.mercadolivre.com.br/power-bank-20000mah-rapido-portatil-45w-rapido-com-display-cor-preto-power-3-saidas-com-cabo-embutido-usb-c-para-samsung-iphone-xiaomi-motorola-celular-tablet-macbook/p/MLB52887554
powerbank 20000mah,https://www.mercadolivre.com.br/power-bank-20000mah-carregador-portatil-carga-rapida-225w-turbo-usb-c-tipo-c-compativel-com-iphone-13-14-15-16-samsung-xiaomi-motorola-compacto-para-viagem-e-uso-diario-preto-casenn/p/MLB56254827
powerbank 20000mah,https://www.mercadolivre.com.br/basike-power-bank-225w-20000mah-com-display-carregamento-rapido-power-4-saidas-com-cabo-embutido-usb-c-e-lig-htning-rapido-ppspdqc-para-iphone-series-16151413-samsung-s2524232221-cinza/p/MLB52327865
powerbank 20000mah,https://www.mercadolivre.com.br/carregador-portatil-power-bank-20000mah-225w-turbo-carga-rapida-universal-usb-c-saida-usb-para-celular-iphone-samsung-xiaomi-motorola-tablet/p/MLB63467502
powerbank 20000mah,https://www.mercadolivre.com.br/power-bank-20000mah-ot-carregador-rapido-com-display-portatil-preto/p/MLB56223905
powerbank 20000mah,https://www.amazon.com.br/Carregador-Port%C3%A1til-20000mAh-Delivery-I2GO/dp/B094YR4SLJ/ref=sr_1_5
powerbank 20000mah,https://www.amazon.com.br/Geonav-Carregador-Universal-Carregamento-PB20K20WSG/dp/B0CNHBV6W5/ref=sr_1_6
powerbank 20000mah,https://www.amazon.com.br/Bateria-Carregador-Port%C3%A1til-20000mAh-R%C3%A1pida/dp/B0D8RJ99Z1/ref=sr_1_7
powerbank 20000mah,https://www.amazon.com.br/Carregador-Port%C3%A1til-20000Mah-Carregamento-Compat%C3%ADvel/dp/B0DL4XSFSR/ref=sr_1_8
playstation 5,https://www.mercadolivre.com.br/sony-playstation-5-pro-cfi-7020-2tb-digital-cor-branco-2024/p/MLB41975964
playstation 5,https://www.mercadolivre.com.br/sony-playstation-5-slim-1tb-cor-branco/p/MLB28616777
playstation 5,https://www.mercadolivre.com.br/console-playstation5-slim-digital-pacote-astro-bot-e-gran-turismo-7-branco/p/MLB57081243
playstation 5,https://www.mercadolivre.com.br/console-playstation-5-slim-edico-digital-825-gb-branco-sony/p/MLB29001054
playstation 5,https://www.mercadolivre.com.br/playstation-5-slim-cor-branco-1-tb-verso-midia-fisica/p/MLB31067313
